ticket_id,customer_id,category,status,created_at,resolved_at,churn_risk
41,9279,Other,Open,2024-10-22 05:35:21.455971,2024-04-11 07:24:55.570253,0.0
42,4249,Account,Open,2024-09-09 13:41:51.473071,2024-04-18 01:23:19.058173,0.25
43,8531,Account,In Progress,2024-01-28 15:25:20.500492,2024-01-21 16:59:32.033100,0.0
44,4945,Product Issue,Open,2024-03-10 02:37:29.299866,2024-06-02 18:38:16.270757,0.0
45,1521,Product Issue,Open,2024-07-01 07:07:31.589794,,0.0
46,8794,Shipping,Closed,2024-07-30 15:52:41.038194,2024-03-10 06:30:51.545903,0.25
47,4269,Return,Closed,2024-08-31 22:52:12.154099,2024-04-17 02:00:47.496062,0.25
48,1405,Shipping,In Progress,2024-05-17 15:44:31.226620,,0.0
49,3386,Return,Open,2024-10-13 05:52:48.899521,,0.25
50,1552,Account,Open,2024-04-25 03:12:51.831998,2024-03-29 21:56:46.615530,0.0
51,4509,Other,Open,2024-09-14 09:37:41.209981,2024-03-19 05:29:00.418292,0.0
52,7547,Product Issue,Open,2024-01-10 07:16:29.801253,2024-04-05 17:36:32.267169,0.0
53,3059,Other,Closed,2024-04-18 18:23:11.961555,2024-04-11 21:14:26.412783,0.25
54,8400,Product Issue,In Progress,2024-08-21 09:36:47.356694,2024-02-27 21:29:45.579560,0.0
55,2797,Other,Closed,2024-05-04 09:08:53.655409,2024-05-10 09:02:56.394634,0.0
56,771,Return,In Progress,2024-06-03 14:33:35.651238,2024-09-23 05:21:41.845771,0.25
57,803,Shipping,In Progress,2024-04-20 04:07:49.319624,2024-04-18 04:36:29.604755,0.0
58,2059,Return,Open,2024-03-06 05:35:38.968222,,0.25
59,2873,Product Issue,Closed,2024-06-29 12:53:09.631201,2024-05-02 08:29:31.240066,0.75
60,4120,Other,In Progress,2024-03-01 04:46:31.099484,,0.0
61,3926,Return,Closed,2024-09-26 23:53:04.835721,2024-05-02 02:56:54.207309,0.0
62,7318,Return,Closed,2024-03-03 14:09:19.808426,2024-06-26 18:35:54.171980,0.0
63,9338,Shipping,Open,2024-10-07 04:47:11.265435,2024-04-12 12:47:35.662061,0.0
64,4446,Product Issue,In Progress,2024-07-11 21:56:33.948476,2024-03-27 08:00:38.159663,0.0
65,4197,Shipping,Closed,2024-01-27 02:12:46.989894,2024-08-24 07:50:15.895739,0.0
66,9325,Shipping,Closed,2024-02-24 12:35:06.520623,,0.0
67,9582,Shipping,Open,2024-02-07 00:29:34.107666,,0.25
68,4821,Product Issue,Closed,2024-08-05 18:34:01.188038,2024-07-05 22:11:43.148104,0.25
69,4266,Product Issue,Closed,2024-02-10 15:20:31.391271,2024-09-15 12:04:08.281240,0.0
70,3089,Shipping,Open,2024-07-30 12:48:02.043195,2024-07-28 10:50:07.254846,0.25
71,4981,Other,Closed,2024-08-08 04:44:55.496147,2024-04-23 16:29:38.490825,0.25
72,861,Account,In Progress,2024-05-19 16:48:12.943959,2024-04-23 19:05:22.372492,0.0
73,6752,Return,Closed,2024-08-08 08:14:13.414991,,0.0
74,423,Return,In Progress,2024-02-09 17:15:22.823347,,0.25
75,3671,Account,Open,2024-07-17 21:41:40.664735,,0.5
76,2332,Return,Closed,2024-07-03 02:34:18.983970,,0.0
77,9489,Shipping,Open,2024-01-25 16:23:31.029040,,0.0
78,890,Other,Closed,2024-03-08 22:11:38.806190,2024-09-02 17:41:29.973085,0.0
79,4129,Product Issue,In Progress,2024-01-25 09:45:50.455736,2024-03-24 18:55:35.470425,0.0
80,5905,Product Issue,Closed,2024-02-09 14:29:48.605253,2024-05-19 19:20:26.615142,0.0
81,4682,Return,In Progress,2024-06-12 13:23:39.894997,,0.25
82,157,Product Issue,Open,2024-03-22 00:19:05.530236,,0.25
83,218,Return,Closed,2024-02-27 23:07:21.451299,2024-02-24 09:29:39.502640,0.0
84,5272,Shipping,Open,2024-10-12 06:34:07.652245,2024-07-15 18:58:56.059011,0.25
85,1682,Account,In Progress,2024-01-26 14:38:16.283806,2024-09-01 06:42:35.540144,0.0
86,5447,Account,In Progress,2024-03-30 10:50:12.155872,,0.0
87,2602,Account,In Progress,2024-09-17 11:03:27.539644,,0.0
88,4720,Return,Open,2024-03-30 00:40:54.541481,2024-08-01 06:08:06.051740,0.0
89,1066,Shipping,Closed,2024-01-03 03:59:19.648532,2024-02-13 02:21:42.216442,0.25
90,3387,Shipping,Closed,2024-09-09 13:19:32.943055,,0.0
91,1438,Shipping,Open,2024-07-12 08:39:05.516324,,0.0
92,4553,Return,Closed,2024-07-15 10:58:38.479803,,0.0
93,5055,Product Issue,Open,2024-02-13 02:35:30.266508,2024-08-03 01:13:14.283029,0.0
94,4869,Product Issue,Closed,2024-01-23 19:11:15.647653,,0.0
95,6264,Product Issue,Closed,2024-02-21 19:40:14.948857,2024-08-20 15:14:09.900696,0.0
96,2873,Other,Closed,2024-04-18 17:18:52.377755,2024-09-11 20:52:40.839090,0.75
97,53,Return,Open,2024-03-22 12:42:25.262236,,0.25
98,1261,Return,Open,2024-07-02 19:04:10.635271,2024-09-22 10:06:06.494286,0.0
99,6704,Product Issue,Open,2024-05-03 17:30:03.932245,2024-08-23 07:38:14.884408,0.0
100,3385,Account,Open,2024-06-30 00:27:26.736857,2024-01-15 00:39:27.805158,0.25
101,5775,Return,Open,2024-05-07 02:04:23.600020,2024-05-25 00:09:39.835170,0.0
102,2419,Shipping,Closed,2024-05-02 16:58:22.989200,,0.0
103,9422,Product Issue,Closed,2024-06-12 11:39:38.843602,,0.0
104,4429,Account,Closed,2024-09-22 00:28:12.014651,,0.0
105,5433,Product Issue,Open,2024-08-26 17:07:02.567973,,0.0
106,7394,Other,Closed,2024-07-25 03:59:45.459670,2024-07-05 06:58:18.081568,0.0
107,2228,Other,Open,2024-07-23 08:35:30.946845,,0.5
108,9414,Product Issue,Open,2024-09-26 15:33:26.308392,,0.25
109,6784,Other,In Progress,2024-08-06 00:06:23.495661,,0.25
110,4169,Other,In Progress,2024-03-30 23:04:43.068302,2024-03-24 00:05:17.844211,0.25
111,9896,Product Issue,Open,2024-02-04 01:35:28.174117,2024-01-21 15:26:07.516412,0.75
112,8989,Shipping,Closed,2024-09-27 22:32:48.297224,2024-01-20 22:21:36.992008,0.0
113,6986,Return,In Progress,2024-06-27 12:57:50.348988,2024-09-17 13:46:41.659569,0.5
114,5848,Return,In Progress,2024-06-24 00:29:19.939487,2024-04-11 23:30:09.246615,0.0
115,9513,Shipping,Open,2024-07-27 04:09:00.970944,2024-08-26 20:34:51.431114,0.25
116,2666,Return,In Progress,2024-05-03 10:50:19.398835,2024-03-12 07:18:09.719958,0.0
117,9043,Shipping,Closed,2024-03-06 21:18:32.887733,,0.0
118,7820,Return,In Progress,2024-02-20 06:40:24.359150,2024-01-03 02:02:03.333192,0.0
119,1730,Other,Closed,2024-02-18 03:30:39.145810,2024-05-16 19:11:13.898231,0.5
120,1936,Account,In Progress,2024-01-13 12:59:24.596627,2024-02-10 09:11:57.811419,0.25
121,3920,Shipping,In Progress,2024-05-29 06:02:19.044552,2024-04-30 22:04:01.386638,0.0
122,6133,Product Issue,Closed,2024-09-30 02:06:31.793324,2024-09-07 20:38:34.615541,0.25
123,324,Product Issue,Closed,2024-07-20 09:26:03.883704,,0.0
124,4978,Product Issue,Closed,2024-06-14 05:17:16.667891,2024-07-27 23:47:29.724078,0.0
125,252,Other,Closed,2024-04-22 04:53:12.642184,,0.25
126,721,Other,In Progress,2024-05-30 07:50:11.514150,2024-05-10 08:22:57.571412,0.0
127,6591,Other,Closed,2024-02-09 10:15:27.490350,2024-07-04 01:39:58.421024,0.25
128,9209,Product Issue,Closed,2024-04-04 12:26:33.043767,2024-01-07 20:46:56.947979,0.25
129,1698,Product Issue,Closed,2024-02-22 04:28:14.351498,,0.25
130,6010,Other,In Progress,2024-03-16 00:46:56.371482,2024-02-09 16:25:03.290163,0.0
131,8059,Other,Closed,2024-07-22 14:01:34.593045,2024-06-07 21:42:57.756171,0.25
132,6920,Return,Open,2024-07-13 03:51:25.649827,2024-08-02 12:51:12.064874,0.0
133,6918,Product Issue,Open,2024-02-18 10:13:36.423441,2024-07-22 21:14:03.944962,0.5
134,5607,Shipping,In Progress,2024-01-25 01:07:13.423939,2024-02-04 08:12:08.266467,0.0
135,7845,Return,In Progress,2024-03-09 17:03:13.331109,2024-06-25 17:02:20.322911,0.25
136,9857,Shipping,Open,2024-09-03 01:32:01.826987,2024-03-22 15:27:08.567201,0.0
137,2710,Other,In Progress,2024-01-02 08:32:49.581927,2024-03-10 13:21:52.578676,0.0
138,6574,Other,Closed,2024-02-28 07:35:46.595303,2024-05-22 01:16:17.577507,0.25
139,793,Product Issue,In Progress,2024-02-23 14:56:12.370092,2024-10-02 21:29:09.936351,0.5
140,3796,Return,Closed,2024-05-22 19:42:22.113641,2024-05-28 04:27:45.088200,0.25
141,879,Other,Closed,2024-03-08 03:34:32.977082,2024-03-13 20:36:41.685646,0.0
142,1596,Other,Closed,2024-05-14 05:02:25.410048,2024-03-08 15:50:15.157814,0.0
143,4801,Other,In Progress,2024-02-17 22:16:28.318647,,0.25
144,4602,Product Issue,In Progress,2024-02-14 04:11:45.556364,2024-06-14 00:11:30.090105,0.0
145,4373,Product Issue,Closed,2024-06-28 20:16:10.442650,2024-01-08 02:34:13.682992,0.0
146,1720,Other,Closed,2024-04-13 18:02:23.993889,2024-01-15 23:17:35.768408,0.5
147,9826,Return,Closed,2024-05-05 04:12:14.027504,2024-01-24 10:50:11.681985,0.25
148,4209,Return,Closed,2024-05-24 02:12:15.887892,2024-10-25 09:53:13.011312,0.0
149,8857,Other,Open,2024-01-31 16:34:04.580026,2024-05-16 11:14:02.409652,0.0
150,9,Other,In Progress,2024-07-12 16:07:22.846565,,0.0
151,4146,Return,Open,2024-09-05 10:06:51.392091,,0.0
152,988,Other,Closed,2024-08-09 10:54:30.208671,2024-01-19 06:47:40.062433,0.25
153,8065,Account,In Progress,2024-05-27 04:02:59.227142,2024-07-28 07:00:27.933818,0.0
154,6160,Other,Closed,2024-02-10 03:29:56.887743,2024-07-28 06:40:56.060602,0.0
155,2513,Account,In Progress,2024-07-08 05:53:02.281727,2024-01-26 00:43:24.537941,0.25
156,9597,Product Issue,Open,2024-01-10 12:42:55.234861,,0.0
157,9876,Other,Open,2024-03-02 17:00:03.582033,2024-04-06 19:24:07.346135,0.0
158,8459,Product Issue,Open,2024-07-15 01:50:10.588489,,0.25
159,7284,Other,In Progress,2024-05-25 07:16:35.450112,2024-08-26 00:33:24.177208,0.25
160,7305,Product Issue,Closed,2024-10-27 07:57:39.873559,2024-09-15 17:34:11.639932,0.0
161,2956,Other,In Progress,2024-10-05 20:18:45.505466,2024-06-07 02:30:46.495618,0.0
162,5845,Return,In Progress,2024-10-02 10:35:48.917263,2024-06-16 15:24:11.231599,0.0
163,4368,Return,Open,2024-03-30 18:48:42.949250,,0.0
164,1041,Other,Closed,2024-02-23 17:57:49.209845,2024-01-30 22:50:58.420681,0.0
165,934,Shipping,Closed,2024-01-30 22:45:58.538477,2024-02-24 06:17:41.351807,0.0
166,9426,Shipping,Closed,2024-06-30 12:11:48.314841,2024-08-24 14:55:58.265094,0.0
167,6139,Shipping,In Progress,2024-05-17 23:43:53.286546,,0.0
168,1904,Product Issue,Open,2024-02-16 19:48:39.787173,2024-05-31 21:44:40.467309,0.0
169,2698,Return,In Progress,2024-05-18 19:36:29.780895,,0.0
170,9463,Other,Closed,2024-04-05 05:44:23.575212,,0.0
171,2234,Shipping,In Progress,2024-06-03 21:51:49.135911,2024-01-02 14:41:35.013755,0.0
172,9731,Product Issue,In Progress,2024-03-02 23:08:06.446739,2024-06-09 13:29:25.475638,0.0
173,9496,Return,In Progress,2024-08-25 17:10:52.999203,2024-01-10 17:38:52.627344,0.25
174,7148,Product Issue,Closed,2024-02-15 03:10:12.795224,,0.5
175,1027,Other,Open,2024-08-17 08:57:37.457339,2024-04-07 10:43:48.110816,0.0
176,4051,Return,Closed,2024-04-11 12:11:55.925011,2024-08-31 12:09:45.402345,0.0
177,5783,Shipping,Closed,2024-03-29 09:48:51.334309,,0.25
178,7518,Return,In Progress,2024-08-29 07:25:31.509008,2024-04-17 17:54:43.130210,0.0
179,4028,Shipping,Closed,2024-10-21 08:26:15.690754,,0.25
180,153,Return,Closed,2024-08-03 22:14:49.989317,2024-10-12 18:06:43.710781,0.0
181,5422,Product Issue,Closed,2024-09-03 00:33:20.218541,2024-10-03 01:31:49.157741,0.5
182,3370,Shipping,Open,2024-09-02 08:33:12.614718,2024-05-30 04:02:25.391455,0.5
183,2742,Shipping,Closed,2024-08-30 13:25:40.078354,2024-07-12 20:42:29.661375,0.0
184,4998,Account,Closed,2024-10-09 05:32:12.855460,2024-08-11 10:13:51.413774,0.0
185,757,Product Issue,Open,2024-07-01 18:23:17.189615,2024-05-15 14:20:55.001271,0.0
186,2461,Shipping,In Progress,2024-06-18 07:30:24.821598,2024-09-18 01:10:10.124215,0.0
187,4029,Account,In Progress,2024-04-20 02:44:55.173438,,0.0
188,2932,Account,Open,2024-10-11 11:39:13.629909,2024-08-24 04:13:40.126779,0.0
189,9935,Return,Closed,2024-04-12 11:58:38.673065,2024-01-01 14:36:55.728719,0.0
190,1957,Other,In Progress,2024-01-18 05:55:02.368757,2024-01-24 13:32:11.605743,0.0
191,5926,Return,Open,2024-07-08 04:19:28.357020,,0.0
192,3042,Product Issue,Closed,2024-06-10 15:12:06.358133,2024-04-18 18:17:30.653292,0.25
193,2215,Product Issue,Open,2024-01-28 19:33:00.021774,,0.0
194,2717,Account,Open,2024-09-13 00:39:11.597633,2024-01-28 18:10:03.984224,0.0
195,521,Account,In Progress,2024-05-04 23:27:09.433146,2024-06-14 04:33:32.318967,0.5
196,6751,Other,Open,2024-09-16 11:45:26.533107,2024-09-02 04:53:07.962253,0.0
197,531,Other,Closed,2024-05-13 11:52:30.732789,,0.0
198,6700,Product Issue,Closed,2024-07-24 04:33:13.544749,,0.0
199,9683,Product Issue,Closed,2024-04-14 09:02:41.686935,2024-04-23 17:59:52.033434,0.25
200,8313,Return,Closed,2024-05-26 19:32:40.661073,2024-06-11 06:37:26.268649,0.5
201,7342,Return,In Progress,2024-02-15 06:37:47.580761,,0.0
202,2667,Shipping,Closed,2024-06-16 04:24:18.805450,,0.5
203,3583,Shipping,In Progress,2024-01-09 00:05:25.894436,,0.0
204,9120,Other,Closed,2024-02-20 15:26:46.267744,2024-08-16 00:34:51.741858,0.25
205,8470,Other,Open,2024-07-14 07:00:06.961968,2024-06-23 07:39:41.591604,0.0
206,3969,Other,Closed,2024-02-28 13:34:56.530216,,0.25
207,8313,Return,Open,2024-04-14 15:36:25.163155,2024-02-28 21:56:40.822071,0.5
208,631,Shipping,In Progress,2024-06-24 01:53:57.778524,,0.0
209,2729,Return,In Progress,2024-04-08 23:35:26.764931,2024-10-02 04:38:16.008343,0.0
210,5601,Account,In Progress,2024-07-15 04:15:06.117322,,0.0
211,936,Other,In Progress,2024-01-25 21:48:44.376330,2024-03-30 22:36:45.371789,0.0
212,9131,Return,In Progress,2024-08-16 22:35:08.898576,2024-10-09 15:17:16.566620,0.25
213,6692,Account,Closed,2024-06-04 08:42:21.264460,2024-03-28 04:04:39.170662,0.75
214,3186,Other,Open,2024-09-30 18:32:47.839680,2024-05-31 05:21:49.529247,0.25
215,9720,Shipping,Closed,2024-06-25 12:58:25.464693,2024-09-07 13:43:17.932766,0.0
216,1392,Other,In Progress,2024-07-27 20:27:23.889097,,0.25
217,3104,Shipping,In Progress,2024-08-24 04:07:22.297967,,0.25
218,9541,Return,Open,2024-01-14 22:11:15.681225,2024-07-21 23:22:55.882203,0.25
219,6407,Product Issue,In Progress,2024-08-01 08:48:35.668505,2024-04-14 08:34:10.810514,0.5
220,9222,Other,In Progress,2024-07-31 19:43:05.720955,2024-09-24 00:00:09.350857,0.25
221,9387,Other,In Progress,2024-06-06 14:35:17.206605,2024-09-02 01:43:26.502951,0.25
222,6918,Return,Closed,2024-09-16 17:36:48.690509,,0.5
223,8623,Return,Open,2024-10-18 17:59:47.133073,2024-06-12 02:17:51.291169,0.0
224,9060,Account,Open,2024-03-28 10:50:23.396094,2024-04-05 23:35:13.382319,0.0
225,6843,Return,Closed,2024-10-26 20:16:59.359289,,0.0
226,2458,Shipping,Open,2024-01-22 13:00:18.229547,2024-01-15 12:54:26.286576,0.5
227,5668,Shipping,Open,2024-01-26 07:29:20.474076,2024-08-02 12:01:10.559202,0.0
228,4929,Shipping,In Progress,2024-03-08 18:33:15.871209,2024-05-08 22:11:06.329463,0.0
229,2916,Return,Open,2024-07-02 16:38:44.322066,2024-06-05 12:59:40.599980,0.0
230,5609,Other,Open,2024-09-05 21:48:07.684688,2024-02-07 00:56:13.205035,0.0
231,8511,Return,Closed,2024-03-26 18:47:43.952919,,0.0
232,8393,Return,Open,2024-01-30 01:04:04.751692,2024-04-21 03:36:21.084734,0.0
233,1229,Account,In Progress,2024-10-09 08:01:39.559677,,0.0
234,4291,Account,In Progress,2024-02-26 16:37:13.416648,2024-03-23 09:14:01.260303,0.25
235,250,Product Issue,Open,2024-09-20 02:43:13.263047,2024-04-04 10:23:39.079985,0.25
236,9869,Shipping,Closed,2024-10-24 04:50:35.173836,,0.0
237,4310,Account,In Progress,2024-05-22 16:39:37.618522,,0.0
238,5585,Shipping,Open,2024-07-13 16:24:30.000923,2024-09-20 20:39:33.813816,0.25
239,4927,Other,Closed,2024-04-24 09:27:54.995584,,0.25
240,2723,Account,Closed,2024-04-27 19:05:37.264425,,0.5
241,471,Account,Closed,2024-10-04 02:33:40.338985,2024-04-17 12:08:10.705163,0.25
242,7096,Account,Open,2024-10-23 11:27:53.477575,,0.25
243,2586,Shipping,In Progress,2024-03-29 01:43:00.366967,,0.0
244,8053,Return,In Progress,2024-10-21 08:21:51.956262,,0.0
245,8345,Account,In Progress,2024-05-24 14:57:12.653156,2024-03-09 14:37:40.308868,0.25
246,14,Shipping,Closed,2024-09-11 15:42:57.270634,2024-10-13 17:34:40.467589,0.0
247,2950,Return,Closed,2024-09-19 13:02:37.397364,,0.0
248,8503,Shipping,Closed,2024-05-29 05:42:10.203308,,0.0
249,9125,Return,Closed,2024-09-05 19:23:12.897997,,0.0
250,960,Shipping,In Progress,2024-09-18 19:22:30.769414,2024-07-12 05:30:47.050921,0.25
251,7546,Other,Closed,2024-08-04 20:49:51.800339,,0.0
252,8813,Account,In Progress,2024-01-08 05:42:24.765337,,0.0
253,352,Return,In Progress,2024-06-06 18:16:31.305735,,0.0
254,4346,Account,Closed,2024-10-01 07:57:30.477206,2024-05-28 19:06:23.479342,0.25
255,1340,Product Issue,Closed,2024-03-22 16:40:00.444145,,0.25
256,9260,Product Issue,Open,2024-08-24 14:48:58.253128,2024-06-28 02:10:29.885305,0.25
257,9663,Account,In Progress,2024-06-05 06:35:56.000309,,0.0
258,6681,Return,In Progress,2024-07-09 22:51:04.039962,,0.25
259,2396,Other,Open,2024-01-02 11:08:31.823574,2024-03-13 08:07:04.620455,0.0
260,8096,Return,In Progress,2024-06-17 06:45:36.976440,2024-02-11 13:32:46.839455,0.5
261,5297,Return,Closed,2024-05-24 04:30:01.648965,,0.0
262,9894,Product Issue,Open,2024-02-29 23:46:41.843835,,0.5
263,4408,Return,Closed,2024-08-26 07:16:13.800579,2024-02-18 14:52:25.006649,0.25
264,8431,Account,In Progress,2024-04-04 10:51:52.785992,2024-09-30 15:58:56.591355,0.0
265,1643,Return,Closed,2024-01-03 00:54:10.326492,2024-01-10 03:12:32.173187,0.0
266,6733,Account,Closed,2024-01-28 07:57:31.905866,,0.25
267,8978,Return,Closed,2024-09-29 21:30:32.678070,,0.0
268,1557,Other,In Progress,2024-05-06 17:25:43.016485,2024-02-16 00:30:35.798571,0.0
269,4478,Account,Open,2024-02-24 12:32:14.377351,,0.5
270,2954,Account,Open,2024-03-23 20:22:26.027033,,0.5
271,6634,Product Issue,In Progress,2024-05-12 22:44:03.801996,2024-02-12 02:20:58.920024,0.25
272,6510,Product Issue,Closed,2024-03-17 12:12:28.586098,2024-04-25 08:59:13.490663,0.0
273,1385,Product Issue,In Progress,2024-08-07 11:44:56.221056,,0.5
274,8959,Account,Closed,2024-09-18 20:58:48.449760,2024-06-16 19:19:24.471258,0.75
275,1989,Return,Closed,2024-01-14 18:01:42.715211,,0.0
276,7590,Return,Open,2024-04-13 22:54:22.792767,2024-09-16 07:56:48.172128,0.25
277,3810,Shipping,Closed,2024-02-02 06:51:23.168078,2024-05-04 03:49:30.373258,0.25
278,9097,Shipping,Open,2024-07-06 13:51:58.028913,2024-10-23 07:29:36.781556,0.25
279,3110,Product Issue,In Progress,2024-05-22 18:22:43.507271,,0.25
280,3852,Account,Closed,2024-06-28 19:10:37.691077,2024-04-22 04:56:54.525155,0.0
281,8421,Return,In Progress,2024-06-13 13:40:40.661242,,0.25
282,7550,Product Issue,Open,2024-05-11 08:52:28.882005,2024-09-03 21:42:44.634641,0.0
283,8516,Product Issue,In Progress,2024-03-13 12:16:45.527750,,0.25
284,3877,Product Issue,Closed,2024-05-14 14:11:51.298574,2024-02-05 06:59:23.895954,0.75
285,626,Return,Open,2024-06-22 03:04:29.019281,2024-05-16 09:53:45.132474,0.0
286,3451,Return,Open,2024-05-28 02:49:35.764711,,0.0
287,6533,Shipping,Closed,2024-03-11 16:17:13.292834,,0.25
288,1439,Account,Closed,2024-09-21 18:16:48.779667,2024-09-04 06:46:27.694650,0.0
289,3286,Return,In Progress,2024-10-20 19:37:43.308857,,0.0
290,9892,Other,Open,2024-03-03 17:35:52.757117,,0.0
291,3459,Product Issue,Open,2024-06-09 00:33:25.743454,,0.0
292,9838,Product Issue,In Progress,2024-07-31 12:25:12.345401,,0.0
293,1587,Shipping,Open,2024-03-21 19:36:04.757621,,0.25
294,7752,Account,Closed,2024-09-09 16:15:01.105705,2024-07-30 22:18:38.565329,0.25
295,2661,Account,In Progress,2024-08-27 16:46:28.035358,2024-08-03 23:30:32.919474,0.25
296,1018,Account,Closed,2024-10-25 21:50:31.971237,,0.0
297,606,Product Issue,Open,2024-03-18 13:04:00.257531,2024-01-22 21:39:28.437454,0.25
298,8763,Product Issue,Closed,2024-09-19 19:56:49.357561,2024-06-07 21:01:16.113398,0.25
299,4920,Account,In Progress,2024-03-08 00:09:32.037578,2024-07-13 16:29:13.456476,0.25
300,8172,Product Issue,In Progress,2024-01-30 00:25:09.657011,,0.25
301,8113,Other,Open,2024-08-18 06:06:17.034894,,0.25
302,5464,Shipping,Open,2024-06-14 06:54:50.575111,,0.5
303,8194,Return,In Progress,2024-05-21 22:57:25.269929,2024-09-30 20:41:13.914454,0.0
304,4980,Product Issue,In Progress,2024-08-11 16:58:12.503155,2024-03-24 21:49:52.489935,0.0
305,1889,Account,In Progress,2024-08-01 14:37:15.943088,,0.0
306,6955,Other,In Progress,2024-06-05 14:57:48.541549,,0.0
307,9818,Product Issue,Open,2024-09-17 21:17:50.670035,,0.25
308,2224,Account,Closed,2024-09-10 13:14:07.767036,,0.25
309,4201,Return,In Progress,2024-03-25 20:50:59.347865,2024-03-21 16:41:06.703251,0.0
310,373,Shipping,Open,2024-06-28 16:26:53.334186,2024-04-25 23:21:23.245106,0.0
311,4927,Account,In Progress,2024-03-03 02:23:49.799402,,0.25
312,7160,Product Issue,Closed,2024-10-03 15:06:32.134119,2024-03-02 16:21:49.705348,0.25
313,2410,Account,In Progress,2024-07-27 03:08:34.441330,2024-06-13 06:32:32.407152,0.0
314,428,Return,In Progress,2024-09-13 07:18:37.797732,2024-07-24 15:22:20.161595,0.5
315,2296,Shipping,In Progress,2024-06-03 14:01:02.072001,2024-07-03 13:10:04.644284,0.5
316,583,Shipping,In Progress,2024-03-22 20:31:35.749719,2024-03-31 00:43:40.963581,0.5
317,7828,Other,In Progress,2024-07-14 23:38:27.280205,2024-02-14 05:01:53.954668,0.25
318,4577,Other,In Progress,2024-05-10 07:38:19.894475,,0.0
319,431,Other,Closed,2024-09-14 16:57:08.491705,,0.25
320,1512,Return,Closed,2024-01-28 11:08:15.194472,2024-05-22 23:59:48.636949,0.0
321,9474,Product Issue,In Progress,2024-07-06 09:13:10.876188,2024-09-18 05:06:45.401816,0.75
322,4542,Other,Open,2024-03-09 13:27:43.717968,,0.0
323,7586,Shipping,Open,2024-04-07 23:34:27.479898,,0.0
